__Server,DNS Name,Función,IP Address,Soporte OS,Soporte Aplicaciones
S460-SCCMSrv,S460-SCCMSrv.reservas.brrd.com,System Center Interno Server,172.22.43.66,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-SecureMFT01,s460-securemft01.reservas.brrd.com,GoAnywhere - Seguridad Aplicaciones,10.0.81.100,GSSD - Aplicaciones,Ciberseguridad
S460-SegInfra01,S460-SegInfra01.reservas.brrd.com,Uso general de Infraestructura de Seguridad,172.22.43.64,GSSD - Aplicaciones,Ciberseguridad
S460-SegInfra03,s460-seginfra03,Seguridad de Infraestructura,172.22.61.13,GSSD - Aplicaciones,Ciberseguridad
S460-SEGLOGS,S460-SEGLOGS.reservas.brrd.com,Seguridad Fisica - Servidor de Logs,172.22.61.28,GSSD - Aplicaciones,Ciberseguridad
S460-SEGMONDB,S460-SEGMONDB.reservas.brrd.com,Monitoreo de Seguridad DB Server,172.22.46.236,GSSD - Aplicaciones,Ciberseguridad
S460-SegSFTP01,s460-segsftp01,FTP Seguro,10.0.97.226,GSSD - Aplicaciones,Ciberseguridad
S460-SegUAG01,S460-SegUAG01,EUC Unified Access Gateway,10.0.97.154,GSSD - Aplicaciones,Ciberseguridad
S460-SegUtil01,s460-segutil01,Utilitarios Seguridad - Ciberseguridad,172.22.61.30,GSSD - Aplicaciones,Ciberseguridad
S460-SEGVIDEOS,S460-SEGVIDEOS.reservas.brrd.com,File Server para videos,172.22.44.180,GSSD - Aplicaciones,Ciberseguridad
S460-SENSWIFDB1,S460-SENSWIFDB1.reservas.brrd.com,Sentinel SWIFT,172.22.52.32,GSSD - Aplicaciones,DBA SQL
S460-SENSWIFDB2,S460-SENSWIFDB2.reservas.brrd.com,Sentinel SWIFT,,GSSD - Aplicaciones,DBA SQL
S460-SENTDB01,S460-SentDB01.reservas.brrd.com,Sentinel DB Server - Sentinel CR - Swift - pueden estar ( Informer y Prevention ),172.22.44.111,GSSD - Aplicaciones,DBA SQL
S460-SENTDB02,S460-SentDB02.reservas.brrd.com,Sentinel DB Server - Prevention pueden estar (Sentinel CR - Swift - informer  ),172.22.44.112,GSSD - Aplicaciones,DBA SQL
S460-SENTDB03,S460-SentDB03.reservas.brrd.com,Sentinel DB Server - informer pueden estar (Sentinel CR - Swift - Prevention  ),172.22.44.113,GSSD - Aplicaciones,DBA SQL
S460-SENTDB04,S460-SentDB04.reservas.brrd.com,Sentinel DB Server,172.22.44.114,GSSD - Aplicaciones,DBA SQL
S460-SENTDB05,S460-SentDB05.reservas.brrd.com,Sentinel DB Server,172.22.44.115,GSSD - Aplicaciones,DBA SQL
S460-SENTDBSSIS,S460-SentDBSSIS.reservas.brrd.com,Sentinel DB Integration Server,172.22.44.205,GSSD - Aplicaciones,DBA SQL
S460-SENTDBW,S460-SentDBW.reservas.brrd.com,Sentinel DB Server Witness,172.22.44.204,GSSD - Aplicaciones,DBA SQL
s460-Sentinel02,s460-Sentinel02.reservas.brrd.com,Sentinel - Prevention y C&R Nodo 1,172.22.43.30,GSSD - Web,GSSD - Web
S460-Sentinel03,s460-Sentinel03.reservas.brrd.com,Sentinel - Informer Nodo 1,172.22.43.141,GSSD - Web,GSSD - Web
S460-Sentinel04,s460-Sentinel04.reservas.brrd.com,Sentinel - C&R Nodo 2,172.22.44.210,GSSD - Web,GSSD - Web
S460-Sentinel05,s460-Sentinel05.reservas.brrd.com,Sentinel - C&R Nodo 3,,GSSD - Web,GSSD - Web
S460-Sentinel06,s460-Sentinel06.reservas.brrd.com,Sentinel - C&R Nodo 4,,GSSD - Web,GSSD - Web
S460-Sentinel07,S460-Sentinel07.reservas.brrd.com,Sentinel - Informer Nodo 2,172.22.43.27,GSSD - Web,GSSD - Web
S460-SentSWIFT1,S460-SentSWIFT1.reservas.brrd.com,Sentinel SWIFT,,GSSD - Web,GSSD - Web
s460-ServCat,S460-ServCat.reservas.brrd.com,Catalogo de Servicios,172.22.43.173,GSSD - Aplicaciones,Mesa de Servicios
s460-ServInt,S460-ServInt.reservas.brrd.com,App Server Servicios Internos -Conciliacion Unisigma-,172.22.44.127,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-SFTPSrv01,s460-sftpsrv01,SFTP Server - Transferencia Segura archivos desde AS/400,172.22.61.50,GSSD - Aplicaciones,Ciberseguridad
S460-SIFINOTI01,s460-sifinoti01,Filial Afi - Notificaciones SiFI,10.0.81.77,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-SilverPeak,BanReservas-DR,Silver Peak Systems ECV,192.168.1.124,GSSD - Aplicaciones,Telecomunicaciones
S460-SiopelApp1,S460-SiopelApp1.reservas.brrd.com,Siopel Tesoreria Banco Central App Server,172.22.47.131,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-SiopelDB01,S460-SiopelDB01.reservas.brrd.com,Siopel Tesoreria Banco Central DB Server,172.22.47.133,GSSD - Aplicaciones,DBA SQL
S460-SiopelDB02,S460-SiopelDB02.reservas.brrd.com,Siopel Tesoreria Banco Central DB Server,172.22.47.134,GSSD - Aplicaciones,DBA SQL
S460-SISNAPA,S460-SISNAPA.extranet.brrd.com,Transferencia a la Tesoreria apliacion Sisnapa,10.0.98.15,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-SKLM01,S460-SKLM01.reservas.brrd.com,Respaldos - SKLM Sitio Primario,172.22.43.181,GSSD - Aplicaciones,GSAH
S460-SKLM02,S460-SKLM02.reservas.brrd.com,Respaldos - SKLM Sitio Alterno,172.22.43.186,GSSD - Aplicaciones,GSAH
S460-SKLMTemp,S460-SKLMTemp.reservas.brrd.com,Respaldo llaves de encriptacion (Temporal),172.22.47.46˜,GSSD - Aplicaciones,GSAH
S460-SkyHealth,S460-SkyHealth,Vmware Management,,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-SnapCenter,s460-SnapCenter.reservas.brrd.com,Hardware - Proyecto SnapCenter,172.22.46.227,GSSD - Aplicaciones,GSAH
s460Snapprotect,S460Snapprotect.reservas.brrd.com,Respaldos,172.22.43.156,GSSD - Aplicaciones,GSAH
S460-SoftGrdAp1,S460-SoftGrdAp1.reservas.brrd.com,Seguridad Fisica Soft Guard App Server,172.22.47.62,GSSD - Aplicaciones,Seguridad Fisica
S460-SoftGrdDB1,S460-SoftGrdDB1.reservas.brrd.com,Seguridad Fisica Soft Guard DB Server,172.22.47.63,GSSD - Aplicaciones,DBA SQL
S460-SoftGrdWS1,S460-SoftGrdWS1.reservas.brrd.com,Seguridad Fisica Soft Guard Web Server,172.22.47.61,GSSD - Aplicaciones,Seguridad Fisica
S460-SPECTRO,S460-Spectro.reservas.brrd.com,Monitoreo - Spectrum,172.22.43.235,GSSD - Aplicaciones,Monitoreo TI
S460-Spectrum2,S460-Spectrum2.reservas.brrd.com,Monitoreo,172.22.43.136,GSSD - Aplicaciones,Monitoreo TI
S460-Spectrum3,S460-Spectrum3.reservas.brrd.com,Monitoreo,172.22.43.137,GSSD - Aplicaciones,Monitoreo TI
S460-SPIQbooks,S460-SPIQbooks.reservas.brrd.com,QuickBooks Filiales - Seproi,172.22.44.142,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-SPIQbooks2,S460-SPIQbooks2.reservas.brrd.com,QuickBooks Filiales - Seproi (Activos Fijos) - NO EN USO,172.22.44.201,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-Splunk,S460-Splunk.reservas.brrd.com,Splunk,172.22.43.35,GSSD - Aplicaciones,GSSC
S460-SPS13PAPP1,S460-SPS13PAPP1.reservas.brrd.com,Intranet SP2013 Central Admin nodo 1,172.22.44.73,GSSD - Web,GSSD - Web
S460-SPS13PAPP2,S460-SPS13PAPP2.reservas.brrd.com,Intranet SP2013 Central Admin nodo 2,172.22.44.74,GSSD - Web,GSSD - Web
S460-SPS13PDB1,S460-SPS13PDB1.reservas.brrd.com,Intranet SP2013 DB Server,172.22.44.75,GSSD - Web,GSSD - Web
S460-SPS13PDB2,S460-SPS13PDB2.reservas.brrd.com,Intranet SP2013 DB Server,172.22.44.76,GSSD - Web,GSSD - Web
